Country,Continents,Type of Coffee,Year,Average of unit_price(/kg),Scale,Conversions_Numeric,converted_price(/kg)
Philippines,Asia & Oceania,Robusta,1998,68.98833333,Units,40.89305,1.69
Philippines,Asia & Oceania,Robusta,1999,51.67416667,Units,39.08898333,1.32
Philippines,Asia & Oceania,Robusta,2000,32.88583333,Units,44.19225,0.74
Philippines,Asia & Oceania,Robusta,2001,26.51166667,Units,50.99265,0.52
Philippines,Asia & Oceania,Robusta,2002,24.47583333,Units,51.60356667,0.47
Philippines,Asia & Oceania,Robusta,2003,39.00333333,Units,54.20333333,0.72
Philippines,Asia & Oceania,Robusta,2004,39.38666667,Units,56.03991667,0.70
Philippines,Asia & Oceania,Robusta,2005,50.61833333,Units,55.08549167,0.92
Philippines,Asia & Oceania,Robusta,2006,62.42333333,Units,51.3142725,1.22
Philippines,Asia & Oceania,Robusta,2007,75.54083333,Units,46.14839118,1.64
Philippines,Asia & Oceania,Robusta,2008,85.86416667,Units,44.32328761,1.94
Philippines,Asia & Oceania,Robusta,2009,72.9475,Units,47.67968845,1.53
Philippines,Asia & Oceania,Robusta,2010,66.465,Units,45.10966418,1.47
Philippines,Asia & Oceania,Robusta,2011,103.4175,Units,43.31313692,2.39
Philippines,Asia & Oceania,Robusta,2012,89.73416667,Units,42.22879473,2.12
Philippines,Asia & Oceania,Robusta,2013,81.95166667,Units,42.44618483,1.93
Rwanda,Africa,Arabica,1973,40,Units,83.9219999,0.48
Rwanda,Africa,Arabica,1974,40,Units,92.30175656,0.43
Rwanda,Africa,Arabica,1975,43.75,Units,92.27726655,0.47
Rwanda,Africa,Arabica,1976,60,Units,97.01234655,0.62
Rwanda,Africa,Arabica,1977,106.25,Units,95.93509322,1.11
Rwanda,Africa,Arabica,1978,120,Units,89.48790655,1.34
Rwanda,Africa,Arabica,1979,120,Units,86.69070655,1.38
Rwanda,Africa,Arabica,1980,124.5,Units,86.06387989,1.45
Rwanda,Africa,Arabica,1981,121.5,Units,87.16030504,1.39
Rwanda,Africa,Arabica,1982,120,Units,93.05996744,1.29
Rwanda,Africa,Arabica,1983,120,Units,96.09393525,1.25
Rwanda,Africa,Arabica,1984,120,Units,100.2328915,1.20
Rwanda,Africa,Arabica,1985,124.5,Units,101.2446706,1.23
Rwanda,Africa,Arabica,1986,125.25,Units,87.59091682,1.43
Rwanda,Africa,Arabica,1987,125,Units,79.46064999,1.57
Rwanda,Africa,Arabica,1988,125,Units,76.44773773,1.64
Rwanda,Africa,Arabica,1989,125,Units,80.14897818,1.56
Rwanda,Africa,Arabica,1990,106.25,Units,83.70409756,1.27
Rwanda,Africa,Arabica,1991,111.25,Units,125.1642483,0.89
Rwanda,Africa,Arabica,1992,115,Units,133.9385833,0.86
Rwanda,Africa,Arabica,1993,115,Units,144.2370205,0.80
Rwanda,Africa,Arabica,1994,122.5,Units,140.7038475,0.87
Rwanda,Africa,Arabica,1995,256.25,Units,262.1822633,0.98
Rwanda,Africa,Arabica,1996,300,Units,306.82,0.98
Rwanda,Africa,Arabica,1997,300,Units,301.5298167,0.99
Rwanda,Africa,Arabica,1998,305.8333333,Units,312.3140917,0.98
Rwanda,Africa,Arabica,1999,266.75,Units,333.941925,0.80
Rwanda,Africa,Arabica,2000,232.5833333,Units,389.6962167,0.60
Rwanda,Africa,Arabica,2001,181.5,Units,442.9918917,0.41
Rwanda,Africa,Arabica,2002,149.75,Units,475.3652417,0.32
Rwanda,Africa,Arabica,2003,236.6666667,Units,537.6549848,0.44
Rwanda,Africa,Arabica,2004,300,Units,577.4489746,0.52
Rwanda,Africa,Arabica,2005,458,Units,557.8226408,0.82
Sierra Leone,Africa,Robusta,1973,0.551666667,Units,0.816341666,0.68
Sierra Leone,Africa,Robusta,1974,0.485,Units,0.855460832,0.57
Sierra Leone,Africa,Robusta,1975,0.5625,Units,0.904021666,0.62
Sierra Leone,Africa,Robusta,1976,0.71,Units,1.112840833,0.64
Sierra Leone,Africa,Robusta,1977,1.5225,Units,1.146496666,1.33
Sierra Leone,Africa,Robusta,1978,1.605,Units,1.047043333,1.53
Sierra Leone,Africa,Robusta,1979,1.716666667,Units,1.056972544,1.62
Sierra Leone,Africa,Robusta,1980,1.933333333,Units,1.049797649,1.84
Sierra Leone,Africa,Robusta,1981,1.501666667,Units,1.159098471,1.30
Sierra Leone,Africa,Robusta,1982,1.32,Units,1.238650427,1.07
Sierra Leone,Africa,Robusta,1983,2.6,Units,1.885330164,1.38
Sierra Leone,Africa,Robusta,1984,4.5475,Units,2.50995,1.81
Sierra Leone,Africa,Robusta,1985,8.3475,Units,5.0941625,1.64
Sierra Leone,Africa,Robusta,1986,24.62166667,Units,16.09213333,1.53
Sierra Leone,Africa,Robusta,1987,51.565,Units,34.042525,1.51
Sierra Leone,Africa,Robusta,1988,52.92,Units,32.51408333,1.63
Sierra Leone,Africa,Robusta,1989,61.25583333,Units,59.81275833,1.02
Sierra Leone,Africa,Robusta,1990,73.07,Units,151.4458333,0.48
Sierra Leone,Africa,Robusta,2011,,Units,4349.161667,
Sierra Leone,Africa,Robusta,2012,,Units,4344.036667,
Sri Lanka,Asia & Oceania,Arabica,1994,78.45416667,Units,49.41514167,1.59
Sri Lanka,Asia & Oceania,Arabica,1995,109.09,Units,51.25158917,2.13
Sri Lanka,Asia & Oceania,Robusta,1988,39.78454545,Units,31.80675,1.25
Sri Lanka,Asia & Oceania,Robusta,1989,38.49583333,Units,36.04708333,1.07
Sri Lanka,Asia & Oceania,Robusta,1990,23.755,Units,40.06291667,0.59
Sri Lanka,Asia & Oceania,Robusta,1991,23.10333333,Units,41.3715,0.56
Sri Lanka,Asia & Oceania,Robusta,1992,30.81833333,Units,43.829625,0.70
Sri Lanka,Asia & Oceania,Robusta,1993,30.81833333,Units,48.3221675,0.64
Sri Lanka,Asia & Oceania,Robusta,1994,78.45416667,Units,49.41514167,1.59
Sri Lanka,Asia & Oceania,Robusta,1995,104.17,Units,51.25158917,2.03
"Tanzania, United Rep. of",Africa,Arabica,1973,5.94,Units,7.021446666,0.85
"Tanzania, United Rep. of",Africa,Arabica,1974,5.5,Units,7.134983332,0.77
"Tanzania, United Rep. of",Africa,Arabica,1975,7.75,Units,7.366791666,1.05
"Tanzania, United Rep. of",Africa,Arabica,1976,14.625,Units,8.376774999,1.75
"Tanzania, United Rep. of",Africa,Arabica,1977,16.25,Units,8.289208333,1.96
"Tanzania, United Rep. of",Africa,Arabica,1978,12.565,Units,7.712049999,1.63
"Tanzania, United Rep. of",Africa,Arabica,1979,12.815,Units,8.216624999,1.56
"Tanzania, United Rep. of",Africa,Arabica,1980,14.875,Units,8.196591666,1.81
"Tanzania, United Rep. of",Africa,Arabica,1981,17.06,Units,8.283508333,2.06
"Tanzania, United Rep. of",Africa,Arabica,1982,18.995,Units,9.282591666,2.05
"Tanzania, United Rep. of",Africa,Arabica,1983,22.185,Units,11.14278333,1.99
"Tanzania, United Rep. of",Africa,Arabica,1984,27.185,Units,15.29225,1.78
"Tanzania, United Rep. of",Africa,Arabica,1985,32.31,Units,17.47233333,1.85
"Tanzania, United Rep. of",Africa,Arabica,1986,49.375,Units,32.69801667,1.51
"Tanzania, United Rep. of",Africa,Arabica,1987,80.415,Units,64.26035,1.25
"Tanzania, United Rep. of",Africa,Arabica,1988,122.625,Units,99.29210833,1.23
"Tanzania, United Rep. of",Africa,Arabica,1989,136.96,Units,143.3769167,0.96
"Tanzania, United Rep. of",Africa,Arabica,1990,140.5,Units,195.0559167,0.72
"Tanzania, United Rep. of",Africa,Arabica,1991,192.5,Units,219.1574167,0.88
"Tanzania, United Rep. of",Africa,Arabica,1992,256.92,Units,297.7080833,0.86
"Tanzania, United Rep. of",Africa,Arabica,1993,267.135,Units,405.2740167,0.66
"Tanzania, United Rep. of",Africa,Arabica,1994,564.57,Units,509.630875,1.11
"Tanzania, United Rep. of",Africa,Arabica,1995,878.9383333,Units,574.7617417,1.53
"Tanzania, United Rep. of",Africa,Arabica,1996,638.8875,Units,579.9766667,1.10
"Tanzania, United Rep. of",Africa,Arabica,1997,1284.797273,Units,612.1225,2.10
"Tanzania, United Rep. of",Africa,Arabica,1998,1059.166667,Units,664.6712083,1.59
"Tanzania, United Rep. of",Africa,Arabica,1999,862.5,Units,744.759075,1.16
"Tanzania, United Rep. of",Africa,Arabica,2000,766.6666667,Units,800.4085167,0.96
"Tanzania, United Rep. of",Africa,Arabica,2001,537.5,Units,876.4116667,0.61
"Tanzania, United Rep. of",Africa,Arabica,2002,441.6666667,Units,966.5827843,0.46
"Tanzania, United Rep. of",Africa,Arabica,2003,454.1666667,Units,1038.419007,0.44
"Tanzania, United Rep. of",Africa,Arabica,2004,506.25,Units,1089.334771,0.46
"Tanzania, United Rep. of",Africa,Arabica,2005,875,Units,1128.934179,0.78
"Tanzania, United Rep. of",Africa,Arabica,2006,1130,Units,1251.899973,0.90
"Tanzania, United Rep. of",Africa,Arabica,2007,1565,Units,1245.035464,1.26
"Tanzania, United Rep. of",Africa,Arabica,2008,1685.714286,Units,1196.310709,1.41
"Tanzania, United Rep. of",Africa,Robusta,1985,15.58571429,Units,17.47233333,0.89
"Tanzania, United Rep. of",Africa,Robusta,1986,22.55,Units,32.69801667,0.69
"Tanzania, United Rep. of",Africa,Robusta,1987,46.065,Units,64.26035,0.72
"Tanzania, United Rep. of",Africa,Robusta,1988,69.505,Units,99.29210833,0.70
"Tanzania, United Rep. of",Africa,Robusta,1989,65.44,Units,143.3769167,0.46
"Tanzania, United Rep. of",Africa,Robusta,1990,58.525,Units,195.0559167,0.30
"Tanzania, United Rep. of",Africa,Robusta,1991,66.025,Units,219.1574167,0.30
"Tanzania, United Rep. of",Africa,Robusta,1992,77.5,Units,297.7080833,0.26
"Tanzania, United Rep. of",Africa,Robusta,1993,83.335,Units,405.2740167,0.21
"Tanzania, United Rep. of",Africa,Robusta,1994,218.335,Units,509.630875,0.43
"Tanzania, United Rep. of",Africa,Robusta,1995,455.8333333,Units,574.7617417,0.79
"Tanzania, United Rep. of",Africa,Robusta,1996,327.25,Units,579.9766667,0.56
"Tanzania, United Rep. of",Africa,Robusta,1997,1003.637273,Units,612.1225,1.64
"Tanzania, United Rep. of",Africa,Robusta,1998,331.8181818,Units,664.6712083,0.50
"Tanzania, United Rep. of",Africa,Robusta,1999,306.25,Units,744.759075,0.41
"Tanzania, United Rep. of",Africa,Robusta,2000,215.8333333,Units,800.4085167,0.27
"Tanzania, United Rep. of",Africa,Robusta,2001,80,Units,876.4116667,0.09
"Tanzania, United Rep. of",Africa,Robusta,2002,73.33333333,Units,966.5827843,0.08
"Tanzania, United Rep. of",Africa,Robusta,2003,123.3333333,Units,1038.419007,0.12
"Tanzania, United Rep. of",Africa,Robusta,2004,145,Units,1089.334771,0.13
"Tanzania, United Rep. of",Africa,Robusta,2005,285.8333333,Units,1128.934179,0.25
"Tanzania, United Rep. of",Africa,Robusta,2006,474.1666667,Units,1251.899973,0.38
"Tanzania, United Rep. of",Africa,Robusta,2007,560,Units,1245.035464,0.45
"Tanzania, United Rep. of",Africa,Robusta,2008,733.3333333,Units,1196.310709,0.61
Thailand,Asia & Oceania,Arabica,2013,140,Units,30.72596667,4.56
Thailand,Asia & Oceania,Arabica,2014,81,Units,32.47983333,2.49
Thailand,Asia & Oceania,Arabica,2015,89.66666667,Units,34.24771667,2.62
Thailand,Asia & Oceania,Robusta,1975,19.37,Units,20.37926949,0.95
Thailand,Asia & Oceania,Robusta,1976,22.4575,Units,20.40010292,1.10
Thailand,Asia & Oceania,Robusta,1977,70.7325,Units,20.40010292,3.47
Thailand,Asia & Oceania,Robusta,1978,48.0625,Units,20.3361026,2.36
Thailand,Asia & Oceania,Robusta,1979,52.7575,Units,20.41893635,2.58
Thailand,Asia & Oceania,Robusta,1980,49.99416667,Units,20.47635331,2.44
Thailand,Asia & Oceania,Robusta,1981,36.18666667,Units,21.82044342,1.66
Thailand,Asia & Oceania,Robusta,1982,29.715,Units,23.00011604,1.29
Thailand,Asia & Oceania,Robusta,1983,30.73,Units,23.00011604,1.34
Thailand,Asia & Oceania,Robusta,1984,39.33333333,Units,23.63936927,1.66
Thailand,Asia & Oceania,Robusta,1985,38.13666667,Units,27.15888702,1.40
Thailand,Asia & Oceania,Robusta,1986,66.47833333,Units,26.29888269,2.53
Thailand,Asia & Oceania,Robusta,1987,37.705,Units,25.72279645,1.47
Thailand,Asia & Oceania,Robusta,1988,31.6375,Units,25.29387761,1.25
Thailand,Asia & Oceania,Robusta,1989,21.5025,Units,25.70204634,0.84
Thailand,Asia & Oceania,Robusta,1990,21.27416667,Units,25.58546242,0.83
Thailand,Asia & Oceania,Robusta,1991,24.644,Units,25.51679541,0.97
Thailand,Asia & Oceania,Robusta,1992,19.54571429,Units,25.40012815,0.77
Thailand,Asia & Oceania,Robusta,1993,24.584,Units,25.31961108,0.97
Thailand,Asia & Oceania,Robusta,1994,31.42,Units,25.14995189,1.25
Thailand,Asia & Oceania,Robusta,1995,48.74,Units,24.9151757,1.96
Thailand,Asia & Oceania,Robusta,1996,36.2925,Units,25.34268286,1.43
Thailand,Asia & Oceania,Robusta,1997,34.006,Units,31.36433445,1.08
Thailand,Asia & Oceania,Robusta,1998,62.596,Units,41.3593875,1.51
Thailand,Asia & Oceania,Robusta,1999,44.23714286,Units,37.81365583,1.17
Thailand,Asia & Oceania,Robusta,2000,25.302,Units,40.11180333,0.63
Thailand,Asia & Oceania,Robusta,2001,29.494,Units,44.4319,0.66
Thailand,Asia & Oceania,Robusta,2002,24.84,Units,42.96008333,0.58
Thailand,Asia & Oceania,Robusta,2003,29.15,Units,41.48461667,0.70
Thailand,Asia & Oceania,Robusta,2004,26.744,Units,40.22241492,0.66
Thailand,Asia & Oceania,Robusta,2005,32.23,Units,40.22013021,0.80
Thailand,Asia & Oceania,Robusta,2006,38.76,Units,37.88198322,1.02
Thailand,Asia & Oceania,Robusta,2007,49.13,Units,34.51818059,1.42
Thailand,Asia & Oceania,Robusta,2008,61.43,Units,33.31330064,1.84
Thailand,Asia & Oceania,Robusta,2009,68.35,Units,34.28577412,1.99
Thailand,Asia & Oceania,Robusta,2010,58.95,Units,31.685705,1.86
Thailand,Asia & Oceania,Robusta,2011,72.35,Units,30.49173333,2.37
Thailand,Asia & Oceania,Robusta,2012,70.63,Units,31.08309167,2.27
Thailand,Asia & Oceania,Robusta,2013,70.135,Units,30.72596667,2.28
Thailand,Asia & Oceania,Robusta,2014,65.90916667,Units,32.47983333,2.03
Thailand,Asia & Oceania,Robusta,2015,69.48,Units,34.24771667,2.03
Togo,Africa,Robusta,1963,67.5,Units,245.0163507,0.28
Togo,Africa,Robusta,1964,75,Units,245.0271841,0.31
Togo,Africa,Robusta,1965,73.75,Units,245.0609342,0.30
Togo,Africa,Robusta,1966,70,Units,245.6784366,0.28
Togo,Africa,Robusta,1967,71.25,Units,246.0009378,0.29
Togo,Africa,Robusta,1968,75,Units,247.5646938,0.30
Togo,Africa,Robusta,1969,75,Units,259.9605744,0.29
Togo,Africa,Robusta,1970,75,Units,276.403137,0.27
Togo,Africa,Robusta,1971,75,Units,275.3564567,0.27
Togo,Africa,Robusta,1972,75,Units,252.0276275,0.30
Togo,Africa,Robusta,1973,78.75,Units,222.8891831,0.35
Togo,Africa,Robusta,1974,93.75,Units,240.7046676,0.39
Togo,Africa,Robusta,1975,107.5,Units,214.3129003,0.50
Togo,Africa,Robusta,1976,117.5,Units,238.9504943,0.49
Togo,Africa,Robusta,1977,130,Units,245.6796866,0.53
Togo,Africa,Robusta,1978,153.75,Units,225.6558602,0.68
Togo,Africa,Robusta,1979,185,Units,212.7216443,0.87
Togo,Africa,Robusta,1980,200,Units,211.2795554,0.95
Togo,Africa,Robusta,1981,203.75,Units,271.7314526,0.75
Togo,Africa,Robusta,1982,220,Units,328.6062527,0.67
Togo,Africa,Robusta,1983,248.75,Units,381.066036,0.65
Togo,Africa,Robusta,1984,296.25,Units,436.9566658,0.68
Togo,Africa,Robusta,1985,327.5,Units,449.2629627,0.73
Togo,Africa,Robusta,1986,373.75,Units,346.3059036,1.08
Togo,Africa,Robusta,1987,400,Units,300.5365624,1.33
Togo,Africa,Robusta,1988,387.5,Units,297.8482188,1.30
Togo,Africa,Robusta,1989,306.25,Units,319.0082995,0.96
Togo,Africa,Robusta,1990,175,Units,272.264788,0.64
Togo,Africa,Robusta,1991,177.5,Units,282.1069088,0.63
Togo,Africa,Robusta,1992,173.75,Units,264.6918008,0.66
Togo,Africa,Robusta,1993,141.25,Units,283.1625795,0.50
Togo,Africa,Robusta,1994,312.5,Units,555.2046957,0.56
Togo,Africa,Robusta,1995,675,Units,499.1484259,1.35
Togo,Africa,Robusta,1996,705.125,Units,511.5524303,1.38
Togo,Africa,Robusta,1997,577.0416667,Units,583.6693724,0.99
Togo,Africa,Robusta,1998,650.2916667,Units,589.9517746,1.10
Togo,Africa,Robusta,1999,585,Units,615.4733493,0.95
Togo,Africa,Robusta,2000,353.75,Units,710.207977,0.50
Togo,Africa,Robusta,2001,247.8333333,Units,732.3976933,0.34
Togo,Africa,Robusta,2002,277.7272727,Units,693.7132265,0.40
Togo,Africa,Robusta,2003,292.6666667,Units,579.8974262,0.50
Togo,Africa,Robusta,2004,255.75,Units,527.3380323,0.48
Togo,Africa,Robusta,2005,325.6666667,Units,527.2583626,0.62
Togo,Africa,Robusta,2006,514.9166667,Units,522.4256249,0.99
Togo,Africa,Robusta,2007,598.9166667,Units,478.6337185,1.25
Togo,Africa,Robusta,2008,755.6666667,Units,446.0000414,1.69
Togo,Africa,Robusta,2009,468.75,Units,470.2934233,1.00
Togo,Africa,Robusta,2010,462.5833333,Units,494.7942622,0.93
Togo,Africa,Robusta,2011,768.6666667,Units,471.2486257,1.63
Togo,Africa,Robusta,2012,771.8333333,Units,510.5563385,1.51
Togo,Africa,Robusta,2013,726,Units,493.8996239,1.47
Togo,Africa,Robusta,2014,650,Units,493.7573299,1.32
Togo,Africa,Robusta,2015,777.0833333,Units,591.211698,1.31
Togo,Africa,Robusta,2016,858.75,Units,592.6056151,1.45
Togo,Africa,Robusta,2017,878.75,Units,580.6567496,1.51
Togo,Africa,Robusta,2018,866.3636364,Units,555.4464584,1.56
Trinidad and Tobago,Central America & Mexico,Robusta,1973,1.55,Units,1.959220537,0.79
Trinidad and Tobago,Central America & Mexico,Robusta,1974,1.53,Units,2.053230911,0.75
Trinidad and Tobago,Central America & Mexico,Robusta,1975,1.11,Units,2.169797595,0.51
Trinidad and Tobago,Central America & Mexico,Robusta,1976,2.2225,Units,2.435786432,0.91
Trinidad and Tobago,Central America & Mexico,Robusta,1977,6.42,Units,2.399999999,2.68
Trinidad and Tobago,Central America & Mexico,Robusta,1978,8.39,Units,2.399999999,3.50
Trinidad and Tobago,Central America & Mexico,Robusta,1979,6.6975,Units,2.399999999,2.79
Trinidad and Tobago,Central America & Mexico,Robusta,1980,7.4425,Units,2.399999999,3.10
Trinidad and Tobago,Central America & Mexico,Robusta,1981,8.44,Units,2.399999999,3.52
Trinidad and Tobago,Central America & Mexico,Robusta,1982,8.44,Units,2.399999999,3.52
Trinidad and Tobago,Central America & Mexico,Robusta,1983,8.44,Units,2.399999999,3.52
Trinidad and Tobago,Central America & Mexico,Robusta,1984,8.44,Units,2.4,3.52
Trinidad and Tobago,Central America & Mexico,Robusta,1985,8.44,Units,2.45,3.44
Trinidad and Tobago,Central America & Mexico,Robusta,1986,8.44,Units,3.6,2.34
Trinidad and Tobago,Central America & Mexico,Robusta,1987,8.44,Units,3.6,2.34
Trinidad and Tobago,Central America & Mexico,Robusta,1988,8.44,Units,3.84375,2.20
Trinidad and Tobago,Central America & Mexico,Robusta,1989,7.8075,Units,4.25,1.84
Trinidad and Tobago,Central America & Mexico,Robusta,1990,5.91,Units,4.25,1.39
Trinidad and Tobago,Central America & Mexico,Robusta,1991,5.91,Units,4.25,1.39
Trinidad and Tobago,Central America & Mexico,Robusta,1992,6.5425,Units,4.25,1.54
Trinidad and Tobago,Central America & Mexico,Robusta,1993,8.44,Units,5.351096667,1.58
Trinidad and Tobago,Central America & Mexico,Robusta,1994,8.44,Units,5.924929167,1.42
Trinidad and Tobago,Central America & Mexico,Robusta,1995,8.44,Units,5.947795833,1.42
Trinidad and Tobago,Central America & Mexico,Robusta,1996,8.435,Units,6.005065833,1.40
Trinidad and Tobago,Central America & Mexico,Robusta,1997,8.42,Units,6.251678333,1.35
Trinidad and Tobago,Central America & Mexico,Robusta,1998,8.435,Units,6.2983075,1.34
Trinidad and Tobago,Central America & Mexico,Robusta,1999,11.09,Units,6.2989,1.76
Uganda,Africa,Arabica,1969,1.54,Units,0.07143,21.56
Uganda,Africa,Arabica,1970,1.49,Units,0.07143,20.86
Uganda,Africa,Arabica,1971,1.34,Units,0.071429996,18.76
Uganda,Africa,Arabica,1972,1.34,Units,0.07143,18.76
Uganda,Africa,Arabica,1973,1.34,Units,0.0702145,19.08
Uganda,Africa,Arabica,1974,1.345,Units,0.0713595,18.85
Uganda,Africa,Arabica,1975,1.395,Units,0.07421925,18.80
Uganda,Africa,Arabica,1976,1.775,Units,0.082661667,21.47
Uganda,Africa,Arabica,1977,2.8625,Units,0.08259,34.66
Uganda,Africa,Arabica,1978,3.65,Units,0.077356667,47.18
Uganda,Africa,Arabica,1979,4.3125,Units,0.074828333,57.63
Uganda,Africa,Arabica,1980,9.05,Units,0.07417,122.02
Uganda,Africa,Arabica,1981,20.525,Units,0.500523333,41.01
Uganda,Africa,Arabica,1982,33.4,Units,0.940466667,35.51
Uganda,Africa,Arabica,1983,52.61666667,Units,1.538625,34.20
Uganda,Africa,Arabica,1984,60.03,Units,3.597025,16.69
Uganda,Africa,Arabica,1985,3.7,Units,6.7202,0.55
Uganda,Africa,Arabica,1986,10.3625,Units,14,0.74
Uganda,Africa,Arabica,1987,30.51666667,Units,42.84126667,0.71
Uganda,Africa,Arabica,1988,74.16666667,Units,106.1358333,0.70
Uganda,Africa,Arabica,1989,100,Units,223.0916063,0.45
Uganda,Africa,Arabica,1990,151.6666667,Units,428.8546667,0.35
Uganda,Africa,Arabica,1991,468.2291667,Units,734.0099167,0.64
Uganda,Africa,Arabica,1992,498.1533333,Units,1133.834333,0.44
Uganda,Africa,Arabica,1993,657.5833333,Units,1195.01675,0.55
Uganda,Africa,Arabica,1994,1604.166667,Units,979.4454167,1.64
Uganda,Africa,Arabica,1995,1451.666667,Units,968.9166667,1.50
Uganda,Africa,Arabica,1996,1220.833333,Units,1046.08475,1.17
Uganda,Africa,Arabica,1997,1920.833333,Units,1083.008667,1.77
Uganda,Africa,Arabica,1998,2137.083333,Units,1240.305833,1.72
Uganda,Africa,Arabica,1999,1483.75,Units,1454.827167,1.02
Uganda,Africa,Arabica,2000,1468.75,Units,1644.475333,0.89
Uganda,Africa,Arabica,2001,1066.666667,Units,1755.65875,0.61
Uganda,Africa,Arabica,2002,1091.25,Units,1797.5505,0.61
Uganda,Africa,Arabica,2003,1239.583333,Units,1963.720083,0.63
Uganda,Africa,Arabica,2004,1435.416667,Units,1810.304714,0.79
Uganda,Africa,Arabica,2005,2270.833333,Units,1780.540261,1.28
Uganda,Africa,Arabica,2006,2233.333333,Units,1831.451851,1.22
Uganda,Africa,Arabica,2007,2468.333333,Units,1723.491587,1.43
Uganda,Africa,Arabica,2008,2764.583333,Units,1720.443879,1.61
Uganda,Africa,Arabica,2009,2691.25,Units,2030.488074,1.33
Uganda,Africa,Arabica,2010,4204.166667,Units,2177.557507,1.93
Uganda,Africa,Arabica,2011,8150,Units,2522.802033,3.23
Uganda,Africa,Arabica,2012,5145.833333,Units,2504.563078,2.05
Uganda,Africa,Arabica,2013,4000,Units,2586.889569,1.55
Uganda,Africa,Arabica,2014,5958.333333,Units,2599.788201,2.29
Uganda,Africa,Arabica,2015,5754.166667,Units,3240.64542,1.78
Uganda,Africa,Arabica,2016,5366.666667,Units,3420.098007,1.57
Uganda,Africa,Arabica,2017,6129.166667,Units,3611.224458,1.70
Uganda,Africa,Arabica,2018,5604.166667,Units,3727.068995,1.50
Uganda,Africa,Robusta,1973,1.19,Units,0.0702145,16.95
Uganda,Africa,Robusta,1974,1.205,Units,0.0713595,16.89
Uganda,Africa,Robusta,1975,1.2875,Units,0.07421925,17.35
Uganda,Africa,Robusta,1976,1.675,Units,0.082661667,20.26
Uganda,Africa,Robusta,1977,2.75,Units,0.08259,33.30
Uganda,Africa,Robusta,1978,3.5,Units,0.077356667,45.24
Uganda,Africa,Robusta,1979,5.258333333,Units,0.074828333,70.27
Uganda,Africa,Robusta,1980,7,Units,0.07417,94.38
Uganda,Africa,Robusta,1981,18.33333333,Units,0.500523333,36.63
Uganda,Africa,Robusta,1982,43.5,Units,0.940466667,46.25
Uganda,Africa,Robusta,1983,67.9175,Units,1.538625,44.14
Uganda,Africa,Robusta,1984,73.325,Units,3.597025,20.38
Uganda,Africa,Robusta,1985,2.4,Units,6.7202,0.36
Uganda,Africa,Robusta,1986,6.9375,Units,14,0.50
Uganda,Africa,Robusta,1987,18.125,Units,42.84126667,0.42
Uganda,Africa,Robusta,1988,44.08333333,Units,106.1358333,0.42
Uganda,Africa,Robusta,1989,60,Units,223.0916063,0.27
Uganda,Africa,Robusta,1990,72.5,Units,428.8546667,0.17
Uganda,Africa,Robusta,1991,190,Units,734.0099167,0.26
Uganda,Africa,Robusta,1992,223.3333333,Units,1133.834333,0.20
Uganda,Africa,Robusta,1993,309.1666667,Units,1195.01675,0.26
Uganda,Africa,Robusta,1994,881.25,Units,979.4454167,0.90
Uganda,Africa,Robusta,1995,1273.25,Units,968.9166667,1.31
Uganda,Africa,Robusta,1996,859.375,Units,1046.08475,0.82
Uganda,Africa,Robusta,1997,992.7083333,Units,1083.008667,0.92
Uganda,Africa,Robusta,1998,1087.708333,Units,1240.305833,0.88
Uganda,Africa,Robusta,1999,1009.166667,Units,1454.827167,0.69
Uganda,Africa,Robusta,2000,711.0416667,Units,1644.475333,0.43
Uganda,Africa,Robusta,2001,410,Units,1755.65875,0.23
Uganda,Africa,Robusta,2002,508.625,Units,1797.5505,0.28
Uganda,Africa,Robusta,2003,900.2916667,Units,1963.720083,0.46
Uganda,Africa,Robusta,2004,1050.833333,Units,1810.304714,0.58
Uganda,Africa,Robusta,2005,1604.166667,Units,1780.540261,0.90
Uganda,Africa,Robusta,2006,1897.916667,Units,1831.451851,1.04
Uganda,Africa,Robusta,2007,2120.833333,Units,1723.491587,1.23
Uganda,Africa,Robusta,2008,2674.583333,Units,1720.443879,1.55
Uganda,Africa,Robusta,2009,2189.583333,Units,2030.488074,1.08
Uganda,Africa,Robusta,2010,2683.333333,Units,2177.557507,1.23
Uganda,Africa,Robusta,2011,4083.333333,Units,2522.802033,1.62
Uganda,Africa,Robusta,2012,3962.5,Units,2504.563078,1.58
Uganda,Africa,Robusta,2013,3866.666667,Units,2586.889569,1.49
Uganda,Africa,Robusta,2014,4026.666667,Units,2599.788201,1.55
Uganda,Africa,Robusta,2015,4280.833333,Units,3240.64542,1.32
Uganda,Africa,Robusta,2016,4479.166667,Units,3420.098007,1.31
Uganda,Africa,Robusta,2017,5091.666667,Units,3611.224458,1.41
Uganda,Africa,Robusta,2018,4700,Units,3727.068995,1.26
"Venezuela, Rep. Bolivariana de",South America,Arabica,1964,2.68,Units,0.00435,616.09
"Venezuela, Rep. Bolivariana de",South America,Arabica,1965,2.68,Units,0.0044,609.09
"Venezuela, Rep. Bolivariana de",South America,Arabica,1966,2.68,Units,0.0044,609.09
"Venezuela, Rep. Bolivariana de",South America,Arabica,1967,3.348333333,Units,0.0044,760.98
"Venezuela, Rep. Bolivariana de",South America,Arabica,1968,3.5925,Units,0.0044,816.48
"Venezuela, Rep. Bolivariana de",South America,Arabica,1969,3.66,Units,0.0044,831.82
