,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(AOA/kg : D),Robusta,16.00,16.00,16.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
Burundi,Africa,(BIF/kg : P),Arabica,"1,237.00","1,237.00","1,237.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,635.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00","1,859.00",,,,,,,,,
Cameroon,Africa,(XAF/kg : G),Arabica,,,,,,,,,,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,,,,,,,,,,,,,,,
Cameroon,Africa,(XAF/kg : G),Robusta,,,,,,,,,,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,,,,,,,,,,,,,,,
Central African Republic,Africa,(XAF/kg : G),Robusta,,,,,,,,,,452.33,452.33,452.33,452.33,452.33,452.33,452.33,452.33,452.33,452.33,452.33,452.33,437.33,437.33,437.33,437.33,437.33,437.33,437.33,437.33,437.33,437.33,437.33,437.33,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,749.50,749.50,749.50
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,485.00,442.00,434.00,448.00,496.00,508.00,475.00,475.00,475.00,0.00,0.00,0.00,584.00,589.00,672.00,706.00,727.00,710.00,650.00,616.00,650.00,0.00,0.00,0.00,546.00,434.00,400.00,400.00,389.00,298.00,371.00,371.00,371.00,371.00,371.00,371.00,371.00,332.00,282.00,329.00,334.00,259.00,253.00,260.00,260.00,260.00,0.00,0.00
Ethiopia,Africa,(ETB/17kg : G),Arabica,252.39,216.24,190.40,183.99,203.08,202.92,210.94,217.24,232.68,254.69,333.39,320.89,281.98,272.72,279.06,275.25,257.74,238.06,238.74,239.32,230.66,207.10,305.39,267.20,288.02,286.25,265.41,258.88,297.05,294.18,317.92,349.41,394.44,345.09,461.56,556.28,519.57,313.03,332.86,320.74,372.81,407.83,425.97,493.77,512.17,531.46,679.33,679.33
Gabon,Africa,(XAF/kg : D),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00
