,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-91,Feb-91,Mar-91,Apr-91,May-91,Jun-91,Jul-91,Aug-91,Sep-91,Oct-91,Nov-91,Dec-91,Jan-92,Feb-92,Mar-92,Apr-92,May-92,Jun-92,Jul-92,Aug-92,Sep-92,Oct-92,Nov-92,Dec-92,Jan-93,Feb-93,Mar-93,Apr-93,May-93,Jun-93,Jul-93,Aug-93,Sep-93,Oct-93,Nov-93,Dec-93,Jan-94,Feb-94,Mar-94,Apr-94,May-94,Jun-94,Jul-94,Aug-94,Sep-94,Oct-94,Nov-94,Dec-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(ANK/kg : D),Robusta,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,83.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,245.94,376.00,376.00,376.00,376.00,376.00,376.00,376.00,376.00,376.00,376.00,450.00,450.00,450.00,450.00,450.00,450.00,"53,000.00","53,000.00","53,000.00","53,000.00","53,000.00","53,000.00","53,000.00","53,000.00","53,000.00","53,000.00","53,000.00","53,000.00"
Benin,Africa,(XAF/kg : G),Robusta,,,,,,,,,,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Africa,(BIF/kg : P),Arabica,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,232.00,232.00,232.00,232.00,232.00,232.00,232.00,232.00,232.00,232.00,232.00,232.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,275.00,275.00,275.00,275.00,275.00,275.00,275.00,275.00,275.00
Burundi,Africa,(BIF/kg : P),Robusta,,,,,,,,,,,,,,,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00
Cameroon,Africa,(XAF/kg : G),Arabica,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,,,,,,,,,,"1,000.00","1,000.00","1,100.00"
Cameroon,Africa,(XAF/kg : G),Robusta,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,155.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,135.00,135.00,135.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,600.00,600.00,700.00
Central African Republic,Africa,(XAF/kg : G),Robusta,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,248.00,248.00,248.00,248.00,248.00,248.00,248.00,174.00,174.00,174.00,174.00,174.00,174.00,174.00,174.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00
Congo,Africa,(XAF/kg : G),Robusta,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,100.00,100.00,100.00,100.00,100.00,100.00
