,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-75,Feb-75,Mar-75,Apr-75,May-75,Jun-75,Jul-75,Aug-75,Sep-75,Oct-75,Nov-75,Dec-75,Jan-76,Feb-76,Mar-76,Apr-76,May-76,Jun-76,Jul-76,Aug-76,Sep-76,Oct-76,Nov-76,Dec-76,Jan-77,Feb-77,Mar-77,Apr-77,May-77,Jun-77,Jul-77,Aug-77,Sep-77,Oct-77,Nov-77,Dec-77,Jan-78,Feb-78,Mar-78,Apr-78,May-78,Jun-78,Jul-78,Aug-78,Sep-78,Oct-78,Nov-78,Dec-78
Ghana,Africa,(GHC/60kg : G),Robusta,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,52.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,70.00,70.00,70.00,70.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00
Guinea,Africa,(GNF/kg : G),Robusta,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00
Kenya,Africa,(KES/50kg : G),Arabica,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,"1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","1,115.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","2,007.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,303.00","1,330.00","1,330.00","1,330.00"
Liberia,Africa,(LRD/),Robusta,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,38.00,38.00,38.00,38.00,38.00,38.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,78.00,78.00,78.00
Madagascar,Africa,(MGF/kg : G),Robusta,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00
Nigeria,Africa,(NGN/m Ton : G),Robusta,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,610.01,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96,949.96
Rwanda,Africa,(RWF/kg : P),Arabica,40.00,40.00,40.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00
Sierra Leone,Africa,(SLL/L Ton : G),Robusta,560.00,560.00,560.00,560.00,560.00,560.00,560.00,560.00,560.00,605.02,605.02,605.02,717.02,717.02,717.02,717.02,717.02,717.02,717.02,717.02,717.02,717.02,717.02,717.02,"1,344.00","1,344.00","1,344.00","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,613.02","1,607.20","1,732.19","1,692.10"
Tanzania,Africa,(TZS/kg : P),Arabica,5.00,5.00,5.00,5.00,5.00,5.00,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,11.38,11.38,11.38,11.38,11.38,11.38
Togo,Africa,(XAF/kg : G),Robusta,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,180.00,180.00,180.00
Uganda,Africa,(UGS/kg : G),Arabica,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
Uganda,Africa,(UGS/kg : G),Robusta,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Zambia,Africa,(ZMK/kg : G),Arabica,0.82,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.60
Zimbabwe,Africa,(ZWD/m Ton : G),Arabica,,,,"1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","1,011.03","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,384.94","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","2,399.93","1,500.01","1,500.01","1,500.01","1,500.01","1,500.01","1,500.01","1,500.01","1,500.01","1,500.01"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Asia & Oceania,(INR/50kg : G),Arabica,426.62,426.62,426.62,426.62,426.62,426.62,426.62,426.62,426.62,671.90,671.90,671.90,671.90,671.90,671.90,671.90,671.90,671.90,671.90,671.90,671.90,"1,027.89","1,027.89","1,027.89","1,027.89","1,027.89","1,027.89","1,027.89","1,027.89","1,027.89","1,027.89","1,027.89","1,027.89",752.20,752.20,752.20,752.20,752.20,752.20,752.20,752.20,752.20,752.20,752.20,752.20,803.20,803.20,803.20
Indonesia,Asia & Oceania,(IDR/kg : G),Robusta,,,,211.00,199.00,208.00,229.00,311.00,353.00,355.00,343.00,356.00,438.00,438.00,438.00,669.00,669.00,669.00,713.00,713.00,713.00,965.00,,,"1,390.00","1,470.00","1,685.00","1,855.00","1,535.00","1,128.00",920.00,974.00,971.00,797.00,860.00,905.00,959.00,869.00,775.00,690.00,710.00,814.00,610.00,647.00,791.00,843.00,956.00,"1,030.00"
Papua New Guinea,Asia & Oceania,(PGK/kg : G),Arabica,0.55,0.55,0.55,0.54,0.54,0.54,0.78,0.78,0.78,0.87,0.87,0.87,0.94,0.94,0.94,1.09,1.28,1.35,,,,1.49,1.52,1.57,1.62,1.73,1.94,2.01,2.10,1.97,1.84,1.64,1.67,1.84,2.02,2.07,2.03,1.96,1.68,1.54,1.58,1.60,1.71,1.25,1.47,1.50,1.46,1.35
Philippines,Asia & Oceania,(PHP/kg : G),Robusta,5.04,6.40,5.52,6.42,6.11,6.13,7.75,7.68,7.36,7.03,6.57,6.70,6.70,6.63,6.73,6.28,6.37,6.92,7.05,7.37,7.61,10.12,10.98,13.90,14.78,19.98,20.58,20.86,21.90,20.91,21.76,16.53,16.66,15.54,15.10,16.20,19.94,13.55,12.44,17.34,17.33,17.89,17.84,18.06,16.75,16.77,17.10,17.29
