,Unnamed: 0,Country,Continents,Unit,Country_Code,Weight,Type,Type of Coffee,Date,Price,unit_price(/kg)
0,0,Burundi,Africa,kg,BIF,1,P,Arabica,Jan-1963,20.0,20.0
1,1,Cameroon,Africa,kg,XAF,1,G,Robusta,Jan-1963,90.3,90.3
2,2,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jan-1963,80.0,80.0
5,5,Kenya,Africa,kg,KES,50,G,Arabica,Jan-1963,274.0,5.48
6,6,Madagascar,Africa,kg,MGF,1,G,Robusta,Jan-1963,83.0,83.0
7,7,Togo,Africa,kg,XAF,1,G,Robusta,Jan-1963,65.0,65.0
8,8,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jan-1963,229.22,4.99
11,11,Colombia,South America,kg,COP,125,P,Arabica,Jan-1963,555.52,4.44
596,596,Burundi,Africa,kg,BIF,1,P,Arabica,Feb-1963,20.0,20.0
597,597,Cameroon,Africa,kg,XAF,1,G,Robusta,Feb-1963,90.3,90.3
598,598,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Feb-1963,80.0,80.0
601,601,Kenya,Africa,kg,KES,50,G,Arabica,Feb-1963,274.0,5.48
602,602,Madagascar,Africa,kg,MGF,1,G,Robusta,Feb-1963,83.0,83.0
603,603,Togo,Africa,kg,XAF,1,G,Robusta,Feb-1963,65.0,65.0
604,604,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Feb-1963,229.22,4.99
607,607,Colombia,South America,kg,COP,125,P,Arabica,Feb-1963,555.52,4.44
1192,1192,Burundi,Africa,kg,BIF,1,P,Arabica,Mar-1963,20.0,20.0
1193,1193,Cameroon,Africa,kg,XAF,1,G,Robusta,Mar-1963,90.3,90.3
1194,1194,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Mar-1963,80.0,80.0
1197,1197,Kenya,Africa,kg,KES,50,G,Arabica,Mar-1963,274.0,5.48
1198,1198,Madagascar,Africa,kg,MGF,1,G,Robusta,Mar-1963,83.0,83.0
1199,1199,Togo,Africa,kg,XAF,1,G,Robusta,Mar-1963,65.0,65.0
1200,1200,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Mar-1963,229.22,4.99
1203,1203,Colombia,South America,kg,COP,125,P,Arabica,Mar-1963,555.52,4.44
1788,1788,Burundi,Africa,kg,BIF,1,P,Arabica,Apr-1963,20.5,20.5
1789,1789,Cameroon,Africa,kg,XAF,1,G,Robusta,Apr-1963,90.3,90.3
1790,1790,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Apr-1963,80.0,80.0
1793,1793,Kenya,Africa,kg,KES,50,G,Arabica,Apr-1963,274.0,5.48
1794,1794,Madagascar,Africa,kg,MGF,1,G,Robusta,Apr-1963,83.0,83.0
1795,1795,Togo,Africa,kg,XAF,1,G,Robusta,Apr-1963,65.0,65.0
1796,1796,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Apr-1963,229.22,4.99
1799,1799,Colombia,South America,kg,COP,125,P,Arabica,Apr-1963,555.52,4.44
2384,2384,Burundi,Africa,kg,BIF,1,P,Arabica,May-1963,20.5,20.5
2385,2385,Cameroon,Africa,kg,XAF,1,G,Robusta,May-1963,90.3,90.3
2386,2386,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,May-1963,80.0,80.0
2389,2389,Kenya,Africa,kg,KES,50,G,Arabica,May-1963,274.0,5.48
2390,2390,Madagascar,Africa,kg,MGF,1,G,Robusta,May-1963,83.0,83.0
2391,2391,Togo,Africa,kg,XAF,1,G,Robusta,May-1963,65.0,65.0
2392,2392,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,May-1963,229.22,4.99
2395,2395,Colombia,South America,kg,COP,125,P,Arabica,May-1963,555.52,4.44
2980,2980,Burundi,Africa,kg,BIF,1,P,Arabica,Jun-1963,20.5,20.5
2981,2981,Cameroon,Africa,kg,XAF,1,G,Robusta,Jun-1963,90.3,90.3
2982,2982,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jun-1963,80.0,80.0
2985,2985,Kenya,Africa,kg,KES,50,G,Arabica,Jun-1963,274.0,5.48
2986,2986,Madagascar,Africa,kg,MGF,1,G,Robusta,Jun-1963,83.0,83.0
2987,2987,Togo,Africa,kg,XAF,1,G,Robusta,Jun-1963,65.0,65.0
2988,2988,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jun-1963,229.22,4.99
2991,2991,Colombia,South America,kg,COP,125,P,Arabica,Jun-1963,555.52,4.44
3576,3576,Burundi,Africa,kg,BIF,1,P,Arabica,Jul-1963,20.5,20.5
3577,3577,Cameroon,Africa,kg,XAF,1,G,Robusta,Jul-1963,90.3,90.3
3578,3578,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jul-1963,80.0,80.0
3581,3581,Kenya,Africa,kg,KES,50,G,Arabica,Jul-1963,274.0,5.48
3582,3582,Madagascar,Africa,kg,MGF,1,G,Robusta,Jul-1963,83.0,83.0
3583,3583,Togo,Africa,kg,XAF,1,G,Robusta,Jul-1963,65.0,65.0
3584,3584,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jul-1963,229.22,4.99
3587,3587,Colombia,South America,kg,COP,125,P,Arabica,Jul-1963,555.52,4.44
4172,4172,Burundi,Africa,kg,BIF,1,P,Arabica,Aug-1963,20.5,20.5
4173,4173,Cameroon,Africa,kg,XAF,1,G,Robusta,Aug-1963,90.3,90.3
4174,4174,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Aug-1963,80.0,80.0
4177,4177,Kenya,Africa,kg,KES,50,G,Arabica,Aug-1963,274.0,5.48
4178,4178,Madagascar,Africa,kg,MGF,1,G,Robusta,Aug-1963,83.0,83.0
4179,4179,Togo,Africa,kg,XAF,1,G,Robusta,Aug-1963,65.0,65.0
4180,4180,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Aug-1963,229.22,4.99
4183,4183,Colombia,South America,kg,COP,125,P,Arabica,Aug-1963,555.52,4.44
4768,4768,Burundi,Africa,kg,BIF,1,P,Arabica,Sep-1963,20.5,20.5
4769,4769,Cameroon,Africa,kg,XAF,1,G,Robusta,Sep-1963,90.3,90.3
4770,4770,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Sep-1963,80.0,80.0
4773,4773,Kenya,Africa,kg,KES,50,G,Arabica,Sep-1963,330.0,6.6
4774,4774,Madagascar,Africa,kg,MGF,1,G,Robusta,Sep-1963,83.0,83.0
4775,4775,Togo,Africa,kg,XAF,1,G,Robusta,Sep-1963,65.0,65.0
4776,4776,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Sep-1963,229.22,4.99
4779,4779,Colombia,South America,kg,COP,125,P,Arabica,Sep-1963,555.52,4.44
5364,5364,Burundi,Africa,kg,BIF,1,P,Arabica,Oct-1963,20.5,20.5
5365,5365,Cameroon,Africa,kg,XAF,1,G,Robusta,Oct-1963,102.0,102.0
5366,5366,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Oct-1963,80.0,80.0
5369,5369,Kenya,Africa,kg,KES,50,G,Arabica,Oct-1963,330.0,6.6
5370,5370,Madagascar,Africa,kg,MGF,1,G,Robusta,Oct-1963,83.0,83.0
5371,5371,Togo,Africa,kg,XAF,1,G,Robusta,Oct-1963,75.0,75.0
5372,5372,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Oct-1963,250.46,5.46
5375,5375,Colombia,South America,kg,COP,125,P,Arabica,Oct-1963,555.52,4.44
5960,5960,Burundi,Africa,kg,BIF,1,P,Arabica,Nov-1963,20.5,20.5
5961,5961,Cameroon,Africa,kg,XAF,1,G,Robusta,Nov-1963,102.0,102.0
5962,5962,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Nov-1963,80.0,80.0
5965,5965,Kenya,Africa,kg,KES,50,G,Arabica,Nov-1963,330.0,6.6
5966,5966,Madagascar,Africa,kg,MGF,1,G,Robusta,Nov-1963,83.0,83.0
5967,5967,Togo,Africa,kg,XAF,1,G,Robusta,Nov-1963,75.0,75.0
5968,5968,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Nov-1963,250.46,5.46
5971,5971,Colombia,South America,kg,COP,125,P,Arabica,Nov-1963,555.52,4.44
6556,6556,Burundi,Africa,kg,BIF,1,P,Arabica,Dec-1963,20.5,20.5
6557,6557,Cameroon,Africa,kg,XAF,1,G,Robusta,Dec-1963,102.0,102.0
6558,6558,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Dec-1963,80.0,80.0
6561,6561,Kenya,Africa,kg,KES,50,G,Arabica,Dec-1963,330.0,6.6
6562,6562,Madagascar,Africa,kg,MGF,1,G,Robusta,Dec-1963,83.0,83.0
6563,6563,Togo,Africa,kg,XAF,1,G,Robusta,Dec-1963,75.0,75.0
6564,6564,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Dec-1963,250.46,5.46
6567,6567,Colombia,South America,kg,COP,125,P,Arabica,Dec-1963,555.52,4.44
7152,7152,Burundi,Africa,kg,BIF,1,P,Arabica,Jan-1964,20.5,20.5
7153,7153,Cameroon,Africa,kg,XAF,1,G,Robusta,Jan-1964,102.0,102.0
7154,7154,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jan-1964,80.0,80.0
7157,7157,Kenya,Africa,kg,KES,50,G,Arabica,Jan-1964,330.0,6.6
7158,7158,Madagascar,Africa,kg,MGF,1,G,Robusta,Jan-1964,83.0,83.0
7159,7159,Togo,Africa,kg,XAF,1,G,Robusta,Jan-1964,75.0,75.0
7160,7160,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jan-1964,250.46,5.46
7162,7162,Brazil,South America,kg,CRZ,60,G,Arabica,Jan-1964,26455.2,440.92
7163,7163,Colombia,South America,kg,COP,125,P,Arabica,Jan-1964,718.2,5.75
7164,7164,Venezuela,South America,SQ,VEB,1,G,Arabica,Jan-1964,123.0,2.68
7748,7748,Burundi,Africa,kg,BIF,1,P,Arabica,Feb-1964,20.5,20.5
7749,7749,Cameroon,Africa,kg,XAF,1,G,Robusta,Feb-1964,102.0,102.0
7750,7750,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Feb-1964,80.0,80.0
7753,7753,Kenya,Africa,kg,KES,50,G,Arabica,Feb-1964,330.0,6.6
7754,7754,Madagascar,Africa,kg,MGF,1,G,Robusta,Feb-1964,83.0,83.0
7755,7755,Togo,Africa,kg,XAF,1,G,Robusta,Feb-1964,75.0,75.0
7756,7756,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Feb-1964,250.46,5.46
7758,7758,Brazil,South America,kg,CRZ,60,G,Arabica,Feb-1964,26455.2,440.92
7759,7759,Colombia,South America,kg,COP,125,P,Arabica,Feb-1964,718.2,5.75
7760,7760,Venezuela,South America,SQ,VEB,1,G,Arabica,Feb-1964,123.0,2.68
8344,8344,Burundi,Africa,kg,BIF,1,P,Arabica,Mar-1964,20.5,20.5
8345,8345,Cameroon,Africa,kg,XAF,1,G,Robusta,Mar-1964,102.0,102.0
8346,8346,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Mar-1964,80.0,80.0
8349,8349,Kenya,Africa,kg,KES,50,G,Arabica,Mar-1964,330.0,6.6
8350,8350,Madagascar,Africa,kg,MGF,1,G,Robusta,Mar-1964,83.0,83.0
8351,8351,Togo,Africa,kg,XAF,1,G,Robusta,Mar-1964,75.0,75.0
8352,8352,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Mar-1964,250.46,5.46
8354,8354,Brazil,South America,kg,CRZ,60,G,Arabica,Mar-1964,26455.2,440.92
8355,8355,Colombia,South America,kg,COP,125,P,Arabica,Mar-1964,718.2,5.75
8356,8356,Venezuela,South America,SQ,VEB,1,G,Arabica,Mar-1964,123.0,2.68
8940,8940,Burundi,Africa,kg,BIF,1,P,Arabica,Apr-1964,27.5,27.5
8941,8941,Cameroon,Africa,kg,XAF,1,G,Robusta,Apr-1964,102.0,102.0
8942,8942,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Apr-1964,80.0,80.0
8945,8945,Kenya,Africa,kg,KES,50,G,Arabica,Apr-1964,330.0,6.6
8946,8946,Madagascar,Africa,kg,MGF,1,G,Robusta,Apr-1964,110.0,110.0
8947,8947,Togo,Africa,kg,XAF,1,G,Robusta,Apr-1964,75.0,75.0
8948,8948,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Apr-1964,250.46,5.46
8950,8950,Brazil,South America,kg,CRZ,60,G,Arabica,Apr-1964,26455.2,440.92
8951,8951,Colombia,South America,kg,COP,125,P,Arabica,Apr-1964,718.2,5.75
8952,8952,Venezuela,South America,SQ,VEB,1,G,Arabica,Apr-1964,123.0,2.68
9536,9536,Burundi,Africa,kg,BIF,1,P,Arabica,May-1964,27.5,27.5
9537,9537,Cameroon,Africa,kg,XAF,1,G,Robusta,May-1964,102.0,102.0
9538,9538,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,May-1964,80.0,80.0
9541,9541,Kenya,Africa,kg,KES,50,G,Arabica,May-1964,330.0,6.6
9542,9542,Madagascar,Africa,kg,MGF,1,G,Robusta,May-1964,110.0,110.0
9543,9543,Togo,Africa,kg,XAF,1,G,Robusta,May-1964,75.0,75.0
9544,9544,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,May-1964,250.46,5.46
9546,9546,Brazil,South America,kg,CRZ,60,G,Arabica,May-1964,26455.2,440.92
9547,9547,Colombia,South America,kg,COP,125,P,Arabica,May-1964,718.2,5.75
9548,9548,Venezuela,South America,SQ,VEB,1,G,Arabica,May-1964,123.0,2.68
10132,10132,Burundi,Africa,kg,BIF,1,P,Arabica,Jun-1964,27.5,27.5
10133,10133,Cameroon,Africa,kg,XAF,1,G,Robusta,Jun-1964,102.0,102.0
10134,10134,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jun-1964,80.0,80.0
10137,10137,Kenya,Africa,kg,KES,50,G,Arabica,Jun-1964,330.0,6.6
10138,10138,Madagascar,Africa,kg,MGF,1,G,Robusta,Jun-1964,110.0,110.0
10139,10139,Togo,Africa,kg,XAF,1,G,Robusta,Jun-1964,75.0,75.0
10140,10140,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jun-1964,250.46,5.46
10142,10142,Brazil,South America,kg,CRZ,60,G,Arabica,Jun-1964,26455.2,440.92
10143,10143,Colombia,South America,kg,COP,125,P,Arabica,Jun-1964,718.2,5.75
10144,10144,Venezuela,South America,SQ,VEB,1,G,Arabica,Jun-1964,123.0,2.68
10728,10728,Burundi,Africa,kg,BIF,1,P,Arabica,Jul-1964,27.5,27.5
10729,10729,Cameroon,Africa,kg,XAF,1,G,Robusta,Jul-1964,102.0,102.0
10730,10730,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jul-1964,80.0,80.0
10733,10733,Kenya,Africa,kg,KES,50,G,Arabica,Jul-1964,330.0,6.6
10734,10734,Madagascar,Africa,kg,MGF,1,G,Robusta,Jul-1964,110.0,110.0
10735,10735,Togo,Africa,kg,XAF,1,G,Robusta,Jul-1964,75.0,75.0
10736,10736,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jul-1964,250.46,5.46
10738,10738,Brazil,South America,kg,CRZ,60,G,Arabica,Jul-1964,26455.2,440.92
10739,10739,Colombia,South America,kg,COP,125,P,Arabica,Jul-1964,718.2,5.75
10740,10740,Venezuela,South America,SQ,VEB,1,G,Arabica,Jul-1964,123.0,2.68
11324,11324,Burundi,Africa,kg,BIF,1,P,Arabica,Aug-1964,27.5,27.5
11325,11325,Cameroon,Africa,kg,XAF,1,G,Robusta,Aug-1964,102.0,102.0
11326,11326,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Aug-1964,80.0,80.0
11329,11329,Kenya,Africa,kg,KES,50,G,Arabica,Aug-1964,330.0,6.6
11330,11330,Madagascar,Africa,kg,MGF,1,G,Robusta,Aug-1964,110.0,110.0
11331,11331,Togo,Africa,kg,XAF,1,G,Robusta,Aug-1964,75.0,75.0
11332,11332,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Aug-1964,250.46,5.46
11334,11334,Brazil,South America,kg,CRZ,60,G,Arabica,Aug-1964,26455.2,440.92
11335,11335,Colombia,South America,kg,COP,125,P,Arabica,Aug-1964,718.2,5.75
11336,11336,Venezuela,South America,SQ,VEB,1,G,Arabica,Aug-1964,123.0,2.68
11920,11920,Burundi,Africa,kg,BIF,1,P,Arabica,Sep-1964,27.5,27.5
11921,11921,Cameroon,Africa,kg,XAF,1,G,Robusta,Sep-1964,102.0,102.0
11922,11922,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Sep-1964,80.0,80.0
11925,11925,Kenya,Africa,kg,KES,50,G,Arabica,Sep-1964,313.0,6.26
11926,11926,Madagascar,Africa,kg,MGF,1,G,Robusta,Sep-1964,110.0,110.0
11927,11927,Togo,Africa,kg,XAF,1,G,Robusta,Sep-1964,75.0,75.0
11928,11928,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Sep-1964,250.46,5.46
11930,11930,Brazil,South America,kg,CRZ,60,G,Arabica,Sep-1964,26455.2,440.92
11931,11931,Colombia,South America,kg,COP,125,P,Arabica,Sep-1964,718.2,5.75
11932,11932,Venezuela,South America,SQ,VEB,1,G,Arabica,Sep-1964,123.0,2.68
12516,12516,Burundi,Africa,kg,BIF,1,P,Arabica,Oct-1964,27.5,27.5
12517,12517,Cameroon,Africa,kg,XAF,1,G,Robusta,Oct-1964,127.0,127.0
12518,12518,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Oct-1964,90.0,90.0
12519,12519,Ethiopia,Africa,kg,ETB,17,G,Arabica,Oct-1964,23.39,1.38
12521,12521,Kenya,Africa,kg,KES,50,G,Arabica,Oct-1964,313.0,6.26
12522,12522,Madagascar,Africa,kg,MGF,1,G,Robusta,Oct-1964,110.0,110.0
12523,12523,Togo,Africa,kg,XAF,1,G,Robusta,Oct-1964,75.0,75.0
12524,12524,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Oct-1964,228.81,4.98
12525,12525,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Oct-1964,36.8,0.8
12526,12526,Brazil,South America,kg,CRZ,60,G,Arabica,Oct-1964,39682.8,661.38
12527,12527,Colombia,South America,kg,COP,125,P,Arabica,Oct-1964,718.2,5.75
12528,12528,Venezuela,South America,SQ,VEB,1,G,Arabica,Oct-1964,123.0,2.68
13112,13112,Burundi,Africa,kg,BIF,1,P,Arabica,Nov-1964,27.5,27.5
13113,13113,Cameroon,Africa,kg,XAF,1,G,Robusta,Nov-1964,127.0,127.0
13114,13114,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Nov-1964,90.0,90.0
13115,13115,Ethiopia,Africa,kg,ETB,17,G,Arabica,Nov-1964,23.39,1.38
13117,13117,Kenya,Africa,kg,KES,50,G,Arabica,Nov-1964,313.0,6.26
13118,13118,Madagascar,Africa,kg,MGF,1,G,Robusta,Nov-1964,110.0,110.0
13119,13119,Togo,Africa,kg,XAF,1,G,Robusta,Nov-1964,75.0,75.0
13120,13120,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Nov-1964,228.81,4.98
13121,13121,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Nov-1964,36.8,0.8
13122,13122,Brazil,South America,kg,CRZ,60,G,Arabica,Nov-1964,39682.8,661.38
13123,13123,Colombia,South America,kg,COP,125,P,Arabica,Nov-1964,718.2,5.75
13124,13124,Venezuela,South America,SQ,VEB,1,G,Arabica,Nov-1964,123.0,2.68
13708,13708,Burundi,Africa,kg,BIF,1,P,Arabica,Dec-1964,27.5,27.5
13709,13709,Cameroon,Africa,kg,XAF,1,G,Robusta,Dec-1964,127.0,127.0
13710,13710,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Dec-1964,90.0,90.0
13711,13711,Ethiopia,Africa,kg,ETB,17,G,Arabica,Dec-1964,23.39,1.38
13713,13713,Kenya,Africa,kg,KES,50,G,Arabica,Dec-1964,313.0,6.26
13714,13714,Madagascar,Africa,kg,MGF,1,G,Robusta,Dec-1964,110.0,110.0
13715,13715,Togo,Africa,kg,XAF,1,G,Robusta,Dec-1964,75.0,75.0
13716,13716,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Dec-1964,228.81,4.98
13717,13717,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Dec-1964,36.8,0.8
13718,13718,Brazil,South America,kg,CRZ,60,G,Arabica,Dec-1964,39682.8,661.38
13719,13719,Colombia,South America,kg,COP,125,P,Arabica,Dec-1964,718.2,5.75
13720,13720,Venezuela,South America,SQ,VEB,1,G,Arabica,Dec-1964,123.0,2.68
14304,14304,Burundi,Africa,kg,BIF,1,P,Arabica,Jan-1965,27.5,27.5
14305,14305,Cameroon,Africa,kg,XAF,1,G,Robusta,Jan-1965,127.0,127.0
14306,14306,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jan-1965,90.0,90.0
14307,14307,Ethiopia,Africa,kg,ETB,17,G,Arabica,Jan-1965,23.39,1.38
14309,14309,Kenya,Africa,kg,KES,50,G,Arabica,Jan-1965,313.0,6.26
14310,14310,Madagascar,Africa,kg,MGF,1,G,Robusta,Jan-1965,110.0,110.0
14311,14311,Togo,Africa,kg,XAF,1,G,Robusta,Jan-1965,75.0,75.0
14312,14312,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jan-1965,228.81,4.98
14313,14313,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Jan-1965,36.8,0.8
14314,14314,Brazil,South America,kg,CRZ,60,G,Arabica,Jan-1965,26455.2,440.92
14315,14315,Colombia,South America,kg,COP,125,P,Arabica,Jan-1965,716.92,5.74
14316,14316,Venezuela,South America,SQ,VEB,1,G,Arabica,Jan-1965,123.0,2.68
14900,14900,Burundi,Africa,kg,BIF,1,P,Arabica,Feb-1965,27.5,27.5
14901,14901,Cameroon,Africa,kg,XAF,1,G,Robusta,Feb-1965,127.0,127.0
14902,14902,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Feb-1965,90.0,90.0
14903,14903,Ethiopia,Africa,kg,ETB,17,G,Arabica,Feb-1965,23.39,1.38
14905,14905,Kenya,Africa,kg,KES,50,G,Arabica,Feb-1965,313.0,6.26
14906,14906,Madagascar,Africa,kg,MGF,1,G,Robusta,Feb-1965,110.0,110.0
14907,14907,Togo,Africa,kg,XAF,1,G,Robusta,Feb-1965,75.0,75.0
14908,14908,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Feb-1965,228.81,4.98
14909,14909,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Feb-1965,36.8,0.8
14910,14910,Brazil,South America,kg,CRZ,60,G,Arabica,Feb-1965,26455.2,440.92
14911,14911,Colombia,South America,kg,COP,125,P,Arabica,Feb-1965,716.92,5.74
14912,14912,Venezuela,South America,SQ,VEB,1,G,Arabica,Feb-1965,123.0,2.68
15496,15496,Burundi,Africa,kg,BIF,1,P,Arabica,Mar-1965,27.5,27.5
15497,15497,Cameroon,Africa,kg,XAF,1,G,Robusta,Mar-1965,127.0,127.0
15498,15498,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Mar-1965,90.0,90.0
15499,15499,Ethiopia,Africa,kg,ETB,17,G,Arabica,Mar-1965,23.39,1.38
15501,15501,Kenya,Africa,kg,KES,50,G,Arabica,Mar-1965,313.0,6.26
15502,15502,Madagascar,Africa,kg,MGF,1,G,Robusta,Mar-1965,110.0,110.0
15503,15503,Togo,Africa,kg,XAF,1,G,Robusta,Mar-1965,75.0,75.0
15504,15504,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Mar-1965,228.81,4.98
15505,15505,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Mar-1965,36.8,0.8
15506,15506,Brazil,South America,kg,CRZ,60,G,Arabica,Mar-1965,26455.2,440.92
15507,15507,Colombia,South America,kg,COP,125,P,Arabica,Mar-1965,716.92,5.74
15508,15508,Venezuela,South America,SQ,VEB,1,G,Arabica,Mar-1965,123.0,2.68
16092,16092,Burundi,Africa,kg,BIF,1,P,Arabica,Apr-1965,35.0,35.0
16093,16093,Cameroon,Africa,kg,XAF,1,G,Robusta,Apr-1965,127.0,127.0
16094,16094,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Apr-1965,90.0,90.0
16095,16095,Ethiopia,Africa,kg,ETB,17,G,Arabica,Apr-1965,23.39,1.38
16097,16097,Kenya,Africa,kg,KES,50,G,Arabica,Apr-1965,313.0,6.26
16098,16098,Madagascar,Africa,kg,MGF,1,G,Robusta,Apr-1965,100.0,100.0
16099,16099,Togo,Africa,kg,XAF,1,G,Robusta,Apr-1965,75.0,75.0
16100,16100,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Apr-1965,228.81,4.98
16101,16101,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Apr-1965,36.8,0.8
16102,16102,Brazil,South America,kg,CRZ,60,G,Arabica,Apr-1965,26455.2,440.92
16103,16103,Colombia,South America,kg,COP,125,P,Arabica,Apr-1965,716.92,5.74
16104,16104,Venezuela,South America,SQ,VEB,1,G,Arabica,Apr-1965,123.0,2.68
16688,16688,Burundi,Africa,kg,BIF,1,P,Arabica,May-1965,35.0,35.0
16689,16689,Cameroon,Africa,kg,XAF,1,G,Robusta,May-1965,127.0,127.0
16690,16690,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,May-1965,90.0,90.0
16691,16691,Ethiopia,Africa,kg,ETB,17,G,Arabica,May-1965,23.39,1.38
16693,16693,Kenya,Africa,kg,KES,50,G,Arabica,May-1965,313.0,6.26
16694,16694,Madagascar,Africa,kg,MGF,1,G,Robusta,May-1965,100.0,100.0
16695,16695,Togo,Africa,kg,XAF,1,G,Robusta,May-1965,75.0,75.0
16696,16696,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,May-1965,228.81,4.98
16697,16697,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,May-1965,36.8,0.8
16698,16698,Brazil,South America,kg,CRZ,60,G,Arabica,May-1965,26455.2,440.92
16699,16699,Colombia,South America,kg,COP,125,P,Arabica,May-1965,716.92,5.74
16700,16700,Venezuela,South America,SQ,VEB,1,G,Arabica,May-1965,123.0,2.68
17284,17284,Burundi,Africa,kg,BIF,1,P,Arabica,Jun-1965,35.0,35.0
17285,17285,Cameroon,Africa,kg,XAF,1,G,Robusta,Jun-1965,127.0,127.0
17286,17286,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,Jun-1965,90.0,90.0
17287,17287,Ethiopia,Africa,kg,ETB,17,G,Arabica,Jun-1965,23.39,1.38
17289,17289,Kenya,Africa,kg,KES,50,G,Arabica,Jun-1965,313.0,6.26
17290,17290,Madagascar,Africa,kg,MGF,1,G,Robusta,Jun-1965,100.0,100.0
17291,17291,Togo,Africa,kg,XAF,1,G,Robusta,Jun-1965,75.0,75.0
17292,17292,Costa Rica,Central America & Mexico,SQ,CRC,1,G,Arabica,Jun-1965,228.81,4.98
17293,17293,Guatemala,Central America & Mexico,SQ,GTQ,1,G,Arabica,Jun-1965,36.8,0.8
17294,17294,Brazil,South America,kg,CRZ,60,G,Arabica,Jun-1965,26455.2,440.92
17295,17295,Colombia,South America,kg,COP,125,P,Arabica,Jun-1965,716.92,5.74
17296,17296,Venezuela,South America,SQ,VEB,1,G,Arabica,Jun-1965,123.0,2.68
