,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(AOA/kg : D),Arabica,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,200.00,200.00,160.00,160.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,,,,
Angola,Africa,(AOA/kg : D),Robusta,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,,,,
Cameroon,Africa,(XAF/kg : G),Arabica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.00,900.00
Cameroon,Africa,(XAF/kg : G),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.00,575.00
Central African Republic,Africa,(XAF/kg : G),Robusta,,,,,,516.25,,,,,,,516.25,375.75,375.75,375.75,375.75,375.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,,,
Democratic Republic of Congo,Africa,(NCF/kg : P),Arabica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,727.92","1,736.97","1,749.51","1,760.24","1,773.79","1,778.21","1,779.95","1,781.19","1,786.30","1,788.04","1,790.76","1,792.78","1,794.49","1,795.54","1,796.04"
Democratic Republic of Congo,Africa,(NCF/kg : P),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,256.67","1,263.25","1,272.37","1,280.17","1,290.03","1,293.24","1,294.51","1,295.51","1,299.12","1,300.39","1,302.37","1,303.84","1,305.08","1,305.84","1,306.21"
