Ethiopia,Africa,(ETB/17kg : G),Arabica,99.86,105.67,105.42,98.78,108.99,108.49,116.40,117.09,115.07,115.59,126.60,119.13,136.74,137.23,145.96,148.58,152.49,159.12,152.35,147.05,146.91,153.15,195.21,222.64,226.41,246.59,238.46,243.60,217.21,213.87,187.84,197.39,188.63,164.47,187.27,191.38,218.64,197.10,192.90,184.86,178.38,169.85,162.13,162.07,161.67,160.40,216.99,276.93
Tanzania,Africa,(TZS/kg : P),Arabica,400.00,400.00,400.00,460.00,460.00,460.00,460.00,460.00,450.00,500.00,500.00,500.00,450.00,450.00,450.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,800.00,800.00,"1,000.00","1,100.00","1,200.00","1,100.00","1,200.00","1,200.00","1,200.00","1,200.00","1,200.00","1,200.00",0.00,0.00,800.00,900.00,900.00,"1,200.00","1,300.00","1,400.00"
Tanzania,Africa,(TZS/kg : P),Robusta,90.00,110.00,120.00,120.00,120.00,120.00,120.00,110.00,120.00,150.00,150.00,150.00,130.00,130.00,130.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,300.00,300.00,300.00,280.00,250.00,300.00,400.00,400.00,450.00,450.00,450.00,400.00,400.00,400.00,450.00,450.00,470.00,480.00,500.00,540.00,700.00
Togo,Africa,(XAF/kg : G),Robusta,325.00,365.00,325.00,315.00,313.00,300.00,288.00,300.00,288.00,230.00,250.00,213.00,213.00,231.00,250.00,250.00,285.00,295.00,300.00,300.00,275.00,250.00,220.00,200.00,225.00,240.00,295.00,325.00,345.00,410.00,405.00,300.00,325.00,325.00,325.00,388.00,470.00,530.00,538.00,538.00,500.00,440.00,550.00,550.00,550.00,450.00,525.00,538.00
Uganda,Africa,(UGX/kg : G),Arabica,"1,175.00","1,225.00","1,150.00","1,200.00","1,250.00","1,250.00","1,225.00","1,200.00","1,150.00","1,350.00","1,350.00","1,350.00","1,600.00","1,400.00","1,600.00","1,375.00","1,400.00","1,400.00","1,325.00","1,300.00","1,225.00","1,325.00","1,375.00","1,900.00","2,000.00","2,050.00","2,100.00","2,400.00","2,450.00","2,450.00","2,450.00","2,200.00","2,100.00","2,350.00","2,350.00","2,350.00","2,600.00","2,450.00","2,200.00","2,300.00","2,100.00","2,100.00","2,100.00","2,150.00","2,150.00","2,250.00","2,250.00","2,150.00"
Uganda,Africa,(UGX/kg : G),Robusta,925.00,782.50,890.00,900.00,887.50,750.00,750.00,806.00,812.50,"1,200.00","1,035.00","1,065.00","1,350.00","1,100.00","1,200.00","1,050.00","1,100.00","1,100.00",995.00,940.00,945.00,880.00,950.00,"1,000.00","1,025.00","1,150.00","1,425.00","1,655.00","1,850.00","1,935.00","1,850.00","1,550.00","1,300.00","1,650.00","1,860.00","2,000.00","2,075.00","1,900.00","1,775.00","1,800.00","1,800.00","1,900.00","1,750.00","2,000.00","1,850.00","2,100.00","1,850.00","1,975.00"
Zambia,Africa,(ZMK/kg : G),Arabica,"4,437.13","4,696.40","4,906.46","4,895.27","6,086.95","6,152.86","5,292.96","5,895.78","5,828.46","6,153.50","6,070.81","5,927.19","6,280.66","5,318.35","5,890.50","5,786.13","5,750.15","8,199.15","4,355.99","8,115.25","8,273.51","7,638.90","7,857.44","8,048.34","8,971.57","8,579.81","9,092.46","9,190.49","10,182.20","9,900.06","3,164.31","10,026.05","10,485.83","8,191.01","7,153.76","7,586.99","7,192.38","7,391.88","7,665.82","5,540.04","5,641.32","4,586.66","11,143.97","9,742.49","9,316.58","8,355.63","9,319.99","10,327.77"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Asia & Oceania,(INR/50kg : G),Arabica,"2,458.00","2,460.00","2,300.00","2,305.00","2,360.00","2,160.00","2,140.00","2,140.00","2,174.00","2,090.00","2,075.00","2,130.00","2,405.00","2,750.00","2,720.00","2,700.00","2,730.00","2,895.00","2,730.00","2,760.00","2,855.00","2,925.00","3,290.00","4,150.00","4,450.00","4,910.00","5,645.00","5,450.00","5,460.00","5,070.00","4,490.00","4,240.00","3,950.00","4,025.00","4,150.00","4,390.00","5,210.00","5,000.00","4,585.00","4,640.00","4,435.00","4,375.00","4,450.00","4,630.00","4,760.00","4,915.00","5,005.00","5,390.00"
India,Asia & Oceania,(INR/50kg : G),Robusta,"1,625.00","1,670.00","1,500.00","1,480.00","1,490.00","1,340.00","1,370.00","1,440.00","1,476.00","1,425.00","1,395.00","1,420.00","1,485.00","1,470.00","1,465.00","1,455.00","1,490.00","1,585.00","1,380.00","1,565.00","1,640.00","1,640.00","1,620.00","1,660.00","1,660.00","2,000.00","2,810.00","2,880.00","2,860.00","2,850.00","2,730.00","2,600.00","2,450.00","2,400.00","2,540.00","2,790.00","2,990.00","2,890.00","2,625.00","2,660.00","2,690.00","2,715.00","2,845.00","3,510.00","3,500.00","3,520.00","3,410.00","3,420.00"
