,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(AOA/kg : D),Arabica,,,,,,,,,,,,,,,,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,0.00,0.00,60.00,0.00,0.00,60.00,60.00,50.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00
Angola,Africa,(AOA/kg : D),Robusta,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,0.00,0.00,50.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
Cameroon,Africa,(XAF/kg : G),Arabica,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,050.00","1,050.00","1,025.00","1,050.00",790.00,950.00,450.00,,,,,,,,,,,,,,
Cameroon,Africa,(XAF/kg : G),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.00,800.00,775.00,800.00,580.00,704.00,630.00,,,,,,,,,,,,,,
Central African Republic,Africa,(XAF/kg : G),Robusta,749.50,749.50,749.50,749.50,749.50,749.50,749.50,749.50,749.50,775.50,775.50,775.50,775.50,775.50,775.50,775.50,775.50,775.50,775.50,775.50,775.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,430.00,425.00,425.00,0.00,421.00,438.00,450.00,430.00,500.00,0.00,0.00,0.00,527.00,528.00,528.00,528.00,503.00,513.00,513.00,,,,,,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00
Ethiopia,Africa,(ETB/17kg : G),Arabica,917.62,"1,011.14","1,024.81",909.15,891.48,886.16,906.84,975.75,944.23,772.35,881.66,928.75,"1,103.99",803.23,734.08,671.84,615.84,613.12,663.59,610.04,615.93,598.04,517.91,613.12,584.94,537.84,550.06,537.51,527.15,510.51,492.29,468.85,468.20,481.39,495.67,480.08,501.67,555.96,648.21,586.34,668.61,586.24,626.30,683.34,595.12,612.23,620.30,650.45
Gabon,Africa,(XAF/kg : D),Robusta,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
