,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-67,Feb-67,Mar-67,Apr-67,May-67,Jun-67,Jul-67,Aug-67,Sep-67,Oct-67,Nov-67,Dec-67,Jan-68,Feb-68,Mar-68,Apr-68,May-68,Jun-68,Jul-68,Aug-68,Sep-68,Oct-68,Nov-68,Dec-68,Jan-69,Feb-69,Mar-69,Apr-69,May-69,Jun-69,Jul-69,Aug-69,Sep-69,Oct-69,Nov-69,Dec-69,Jan-70,Feb-70,Mar-70,Apr-70,May-70,Jun-70,Jul-70,Aug-70,Sep-70,Oct-70,Nov-70,Dec-70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Africa,(BIF/kg : P),Arabica,36.00,36.00,36.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00
Cameroon,Africa,(XAF/kg : G),Robusta,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,125.00,125.00,125.00
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,105.00,105.00,105.00
Ethiopia,Africa,(ETB/17kg : G),Arabica,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,23.43,23.43,23.43
Gabon,Africa,(XAF/kg : D),Robusta,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
Kenya,Africa,(KES/50kg : G),Arabica,261.00,261.00,261.00,261.00,261.00,261.00,261.00,261.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,279.00,279.00,279.00,279.00,279.00,279.00,279.00,279.00,279.00,279.00,279.00,279.00,372.00,372.00,372.00,372.00,372.00,372.00,372.00,372.00,372.00,372.00,372.00,372.00,293.00,293.00,293.00,293.00
Madagascar,Africa,(MGF/kg : G),Robusta,100.00,100.00,100.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00
Togo,Africa,(XAF/kg : G),Robusta,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
