,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Paid to Growers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in Current Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(National Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-95,Feb-95,Mar-95,Apr-95,May-95,Jun-95,Jul-95,Aug-95,Sep-95,Oct-95,Nov-95,Dec-95,Jan-96,Feb-96,Mar-96,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(ANK/kg : D),Robusta,"1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","2,000,000.00","1,850.00","1,850.00","1,850.00","1,850.00","1,850.00","1,850.00","6,024.00","6,024.00","31,784.00","15,892.00","15,892.00","15,892.00","15,892.00","15,892.00","100,997.00","100,997.00","100,997.00","100,997.00","100,997.00","100,997.00","100,997.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","105,250.00","128,564.00","128,564.00","128,564.00","128,564.00","232,699.50","281,975.10","330,121.55","337,991.50","339,429.75"
Burundi,Africa,(BIF/kg : P),Arabica,275.00,275.00,275.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,340.00,340.00,340.00,340.00,340.00,340.00,340.00,340.00,340.00,340.00,340.00,340.00,435.00,435.00,435.00,435.00,435.00,435.00,435.00,435.00,435.00
Burundi,Africa,(BIF/kg : P),Robusta,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,226.00,226.00,226.00,226.00,226.00,226.00,226.00,226.00,226.00,226.00,226.00,226.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,,,,,,,,,
Cameroon,Africa,(XAF/kg : G),Arabica,"1,100.00","1,100.00",850.00,850.00,850.00,850.00,850.00,850.00,850.00,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00",525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,"1,420.00","1,420.00","1,420.00"
Cameroon,Africa,(XAF/kg : G),Robusta,800.00,800.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,400.00,400.00,400.00
Central African Republic,Africa,(XAF/kg : G),Robusta,400.00,720.00,720.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,633.00,375.00,375.00,375.00,390.00,390.00,390.00,390.00,445.00,445.00,490.00,490.00,610.00,610.00,490.00,490.00,490.00,490.00,490.00,490.00,530.00,530.00,520.00,605.00,605.00,460.00,460.00,460.00,420.00,420.00,420.00
Congo,Africa,(XAF/kg : G),Robusta,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,530.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,525.00,525.00,525.00
