,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-79,Feb-79,Mar-79,Apr-79,May-79,Jun-79,Jul-79,Aug-79,Sep-79,Oct-79,Nov-79,Dec-79,Jan-80,Feb-80,Mar-80,Apr-80,May-80,Jun-80,Jul-80,Aug-80,Sep-80,Oct-80,Nov-80,Dec-80,Jan-81,Feb-81,Mar-81,Apr-81,May-81,Jun-81,Jul-81,Aug-81,Sep-81,Oct-81,Nov-81,Dec-81,Jan-82,Feb-82,Mar-82,Apr-82,May-82,Jun-82,Jul-82,Aug-82,Sep-82,Oct-82,Nov-82,Dec-82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(ANK/kg : D),Robusta,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
Benin,Africa,(XAF/kg : G),Robusta,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,135.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,215.00,215.00,215.00
Burundi,Africa,(BIF/kg : P),Arabica,112.00,112.00,112.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00,118.00
Cameroon,Africa,(XAF/kg : G),Robusta,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,310.00,310.00,310.00,310.00,310.00,310.00,310.00,310.00,310.00,310.00,310.00,310.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,350.00,350.00,350.00
Central African Republic,Africa,(XAF/kg : G),Robusta,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,250.00,250.00,250.00
Congo,Africa,(XAF/kg : G),Robusta,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,201.00,201.00,201.00,201.00,201.00,201.00
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00
Democratic Republic of Congo,Africa,(ZAA/kg : P),Robusta,59.00,59.00,59.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,225.00,225.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,600.00,600.00,600.00
