,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-71,Feb-71,Mar-71,Apr-71,May-71,Jun-71,Jul-71,Aug-71,Sep-71,Oct-71,Nov-71,Dec-71,Jan-72,Feb-72,Mar-72,Apr-72,May-72,Jun-72,Jul-72,Aug-72,Sep-72,Oct-72,Nov-72,Dec-72,Jan-73,Feb-73,Mar-73,Apr-73,May-73,Jun-73,Jul-73,Aug-73,Sep-73,Oct-73,Nov-73,Dec-73,Jan-74,Feb-74,Mar-74,Apr-74,May-74,Jun-74,Jul-74,Aug-74,Sep-74,Oct-74,Nov-74,Dec-74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(ANK/kg : D),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,7.30,7.30,7.30,7.70,7.70,7.70,8.20,8.20,8.20,9.20,9.20,9.20,11.50,11.50,11.50,12.00,12.00,12.00,7.50,7.50,7.50,7.50,7.50,7.50
Benin,Africa,(XAF/kg : G),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,103.00,103.00,103.00
Burundi,Africa,(BIF/kg : P),Arabica,36.00,36.00,36.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00
Cameroon,Africa,(XAF/kg : G),Robusta,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,125.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,135.00,135.00,135.00
Central African Republic,Africa,(XAF/kg : G),Robusta,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00
Congo,Africa,(XAF/kg : G),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,50.00,50.00,50.00,50.00,50.00,50.00
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,150.00,150.00,150.00
Democratic Republic of Congo,Africa,(ZAA/kg : P),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
