,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Paid to Growers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in Current Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(National Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02
Madagascar,Africa,(MGF/kg : G),Arabica,"6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","4,000.00","4,000.00","4,000.00","4,000.00","4,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","3,500.00","3,500.00","3,500.00","3,500.00"
Madagascar,Africa,(MGF/kg : G),Robusta,"5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","5,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","3,250.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","2,500.00","2,500.00","2,500.00","2,500.00"
Malawi,Africa,(MWK/kg : G),Arabica,74.70,67.78,64.43,54.69,80.65,80.49,87.45,108.47,75.92,59.55,71.85,78.69,37.91,39.08,68.45,47.64,60.89,93.71,98.32,111.84,72.65,81.74,111.26,86.51,74.43,59.85,79.67,46.61,87.99,72.83,100.86,90.53,78.11,77.94,61.04,47.68,45.27,43.43,53.73,71.40,59.66,70.30,88.00,56.73,63.07,85.28,93.20,83.48
Rwanda,Africa,(RWF/kg : P),Arabica,270.00,330.00,330.00,300.00,330.00,294.00,250.00,250.00,230.00,197.00,210.00,210.00,242.00,220.00,250.00,234.00,232.00,250.00,250.00,245.00,220.00,235.00,213.00,200.00,160.00,200.00,180.00,200.00,200.00,200.00,200.00,170.00,170.00,160.00,170.00,168.00,175.00,175.00,175.00,120.00,120.00,115.00,127.00,140.00,200.00,150.00,150.00,150.00
Tanzania,Africa,(TZS/kg : P),Arabica,850.00,850.00,850.00,850.00,850.00,850.00,850.00,850.00,850.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,650.00,650.00,650.00,650.00,650.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00
Tanzania,Africa,(TZS/kg : P),Robusta,325.00,325.00,325.00,325.00,325.00,325.00,325.00,325.00,325.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,200.00,200.00,200.00,200.00,200.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00
Togo,Africa,(XAF/kg : G),Robusta,615.00,635.00,650.00,695.00,635.00,650.00,600.00,500.00,500.00,500.00,500.00,540.00,515.00,455.00,425.00,375.00,415.00,460.00,400.00,300.00,300.00,200.00,200.00,200.00,215.00,250.00,315.00,282.00,295.00,302.00,275.00,265.00,250.00,130.00,130.00,265.00,,225.00,235.00,300.00,325.00,325.00,300.00,250.00,220.00,300.00,285.00,290.00
Uganda,Africa,(UGX/kg : G),Arabica,"2,010.00","1,940.00","1,780.00","1,650.00","1,650.00","1,450.00","1,025.00","1,250.00",950.00,950.00,"1,550.00","1,600.00","1,700.00","1,700.00","1,750.00","1,650.00","1,425.00","1,400.00","1,300.00","1,300.00","1,300.00","1,300.00","1,300.00","1,500.00","1,350.00","1,250.00","1,300.00","1,200.00","1,200.00","1,200.00",900.00,950.00,950.00,850.00,800.00,850.00,850.00,"1,100.00","1,200.00","1,100.00","1,100.00","1,015.00",965.00,"1,075.00","1,040.00","1,200.00","1,200.00","1,250.00"
Uganda,Africa,(UGX/kg : G),Robusta,"1,025.00","1,037.50","1,032.50","1,112.50","1,012.50",912.50,912.50,"1,052.50","1,012.50",987.50,"1,012.50","1,000.00",937.50,"1,000.00",825.00,650.00,725.00,662.50,687.50,662.50,687.50,637.50,545.00,512.50,537.50,535.00,545.00,465.00,480.00,472.50,375.00,325.00,300.00,307.50,282.50,295.00,302.50,345.00,440.00,517.50,520.00,500.00,447.50,447.50,456.00,477.50,775.00,875.00
Zambia,Africa,(ZMK/kg : G),Arabica,"8,283.38","7,773.89","6,102.79","5,564.39","6,203.01","6,067.98","7,080.46","5,664.56","5,621.53","5,197.18","5,729.52","6,153.96","6,325.35","6,743.72","6,201.51","5,436.05","6,141.72","5,525.80","6,500.53","6,572.11","7,267.36","4,480.56","6,194.42","7,285.84","7,473.84","7,473.62","5,655.05","4,668.99","5,088.23","4,629.79","4,633.52","3,551.11","5,027.62","5,067.69","5,037.89","4,429.60","5,936.19","5,594.42","5,719.22","5,840.39","5,911.09","5,949.14","5,327.03","5,428.54","6,749.11","6,001.25","5,819.82","4,890.29"
